AgencyName,NetBalance,Year
LRBT,-0.3337,6/30/2017 0:00
M & C Saatchi World Services Pakistan Pvt Ltd.,18200349.85,12/31/2023 0:00
M Communications (Pvt) Limited,384183.8913,1/19/2021 16:38
Maan Advertisers,0,11/29/2008 10:53
MAdMOB Advertising Pvt Ltd.,0,8/16/2023 0:00
Mahantee.com,-100.0007,10/6/2020 0:00
Manhattan Communications (Pvt) Ltd.,11463573.36,12/18/2023 0:00
Manhattan International (Pvt.) Ltd.,1505022.501,12/31/2023 0:00
Manhattan Pakistan Limited,-0.1671,11/6/2008 0:00
Manhill Advertising & Marketing (Pvt.) Ltd.,7694671.117,10/23/2023 0:00
Marcom (Pvt.) Limited,444400,8/15/2023 13:09
Marketing & Advertising (Pvt.) Ltd.,21211.5002,10/16/2023 0:00
Marksman Advertising,0.0333,12/24/2008 0:00
Marshmallow Advertising (Pvt.) Limited,12463986.79,12/14/2023 11:15
Mass Advertising (Pvt) Ltd.,3.6536,6/30/2017 0:00
Maxim Advertising (Pvt.) Ltd.,-0.5452,10/28/2021 0:00
Maxsell Associates,2434114.263,11/28/2023 0:00
Maxsell Communications,-844686.4936,10/5/2021 0:00
MCM,22589.7092,3/26/2021 16:45
MCOM,-1372864.295,9/21/2023 17:19
Media 360 Pvt Ltd.,0.051,12/31/2016 0:00
Media Ad,-0.0214,9/28/2023 19:08
Media Axis (Pvt) Ltd,-861177.9484,5/12/2023 18:47
Media Dimensions,-63436.67,1/19/2018 11:39
Media Expansion Systems (Pvt.) Limited,6669185.333,11/27/2023 11:47
Media Line,-14140,5/17/2013 11:32
Media Link Pakistan (Pvt.) Ltd.,-0.5,5/23/2009 16:30
Media Links Inc.,27000,11/15/2021 0:00
Media Network,2276750.334,12/31/2023 0:00
Media One Communication,27967.931,2/14/2018 17:57
Media Professionals,3589845.698,11/16/2023 0:00
Media Pulse (Pvt.) Ltd.,2592093.067,11/13/2023 16:13
Media Shop (Pvt.) Ltd.,0.1129,12/31/2016 0:00
Media Vision Marketing (Pvt.) Ltd.,0,3/31/2012 0:00
Media Zone,-94500,6/13/2015 0:00
MEDZnMORE (Pvt.) Ltd,19146149.51,12/31/2022 0:00
Mesh Media (Pvt.) Ltd.,3785655.118,12/31/2023 0:00
Message Communications,-44614.5708,5/20/2021 0:00
MG Advertiser,-994.3533,8/27/2012 11:56
Midas (Pvt.) Ltd.,8900192.931,6/30/2023 0:00
Midas Communication,33690087.51,12/31/2023 0:00
Midas International Pvt Ltd,1413095.214,9/21/2023 19:06
Mind Communications,-1122840.334,1/18/2020 16:40
Mindshare,0,3/28/2018 15:10
Mindshare Pakistan (Private) Limited,383364821.1,12/31/2023 0:00
Ministry Of Information Govt of Sindh,-0.1527,6/16/2011 0:00
MINT Ideas House,-0.5858,9/28/2023 17:20
Modem4,3.5731,8/1/2022 0:00
MQM,-0.3343,12/31/2016 0:00
Munawwar Associates,205319.9898,5/31/2022 0:00
Mustaqbil Pakistan,-169113.3346,5/16/2013 18:46
Naqsha Pvt Ltd.,-18183.0022,8/31/2020 0:00
Natural Foods (Pvt) Limited,0,8/16/2016 11:44
NYX Advertising (Pvt.) Ltd.,-1.3189,12/31/2016 0:00
O Experience Pvt Ltd.,0.3405,11/21/2022 15:56
OAK Media (Pvt) Ltd,10295481.33,12/29/2023 12:44
OCLY (Pvt.) Ltd.,0.0732,10/12/2021 0:00
Ogilvy & Mather (Pvt.) Limited,0,11/18/2020 17:12
Ogilvy & Mather Pakistan (Pvt.) Limited,-0.2379,9/12/2022 0:00
Oktopus 360 Media (Pvt) Ltd. (Formarlly Kimco Advertising),168941233.6,12/31/2023 0:00
Orange Communications,0,6/30/2018 0:00
Orange Room (Pvt.) Limited,4431375,8/8/2023 14:34
Orient Advertising (Pvt.) Ltd.,-29445.8886,7/11/2018 14:40
Orient Communication (Pvt) Ltd,-2596740.823,11/15/2023 0:00
Orientedge (Pvt.) Ltd,4593364.88,8/8/2023 14:39
OrientNext.Com,78.7915,12/27/2023 0:00
Pak Media Com (Pvt.) Ltd.,-313.1869,9/13/2022 14:42
Pak Media Communications (Pvt.) Ltd.,243677822.5,12/31/2023 0:00
Pakistan Flour Mills Association,-4430,2/27/2023 0:00
Pakistan Tehreek Insaf (PTI),13100.0011,9/30/2022 0:00
Paragon International (Pvt.) Ltd,34210357.43,1/13/2023 15:27
Partnership 3,235178.5908,7/31/2023 0:00
PBA LPS & Other Surcharges,-2482667,9/6/2021 0:00
