AgencyName,NetBalance,Year
Harib Advertising (Pvt.) Ltd.,-1.3208,4/22/2021 2:25:06 PM
Harper Flux,-507504.2057,11/10/2020 5:20:39 PM
Hashmi Media & Marketing Consultants (Pvt) Ltd.,5231551.2964,10/31/2022 12:00:00 AM
Hawk Advertising & Communications Consultant,-1.7509,7/25/2016 12:00:00 AM
Hayder Ali Communications,-1.4881,6/30/2020 12:00:00 AM
Hi-Point Communications,0.5009,1/31/2011 12:00:00 AM
HS Marketing,-18.9942,9/12/2022 12:00:00 AM
I Seen On Tv,0.2858,6/13/2017 1:52:34 PM
Ideal Brands,1.0152,3/13/2017 12:36:07 PM
Ideas Workshop Communication Solutions,-786189.6175,1/19/2018 11:59:33 AM
IG Square Pakistan (Pvt) Ltd,40382800.1554,10/31/2022 12:00:00 AM
Impact Advertising Services Pvt Ltd,0.3335,3/4/2021 12:00:00 AM
Indus Hospital,0.0000,8/30/2011 12:00:00 AM
Insync Marketing & Advertising Pvt Ltd.,-25.4317,6/27/2022 12:00:00 AM
Inter Link Advertising (Pvt) Ltd,34122493.4032,10/31/2022 12:00:00 AM
Inter Link Advertising (Pvt) Ltd,34122493.4032,10/31/2022 12:00:00 AM
Interflow Communications (Pvt.) Ltd.,21617102.0469,10/20/2022 4:50:35 PM
Interflow Communications (Pvt.) Ltd.,21617102.0469,10/20/2022 4:50:35 PM
Interflow Communications (Pvt.) Ltd.,21617102.0469,10/20/2022 4:50:35 PM
International Advertising (Pvt.) Ltd.,-0.4494,11/27/2018 12:00:00 AM
IO Media (Pvt) Ltd.,6976.4173,6/19/2018 12:00:00 AM
ISPR,1268666.0000,3/31/2021 12:00:00 AM
ISPR (Maalik Promo),-0.1245,6/30/2020 12:00:00 AM
Jaag Welfare Movemnet,-0.3336,1/2/2009 12:00:00 AM
Jahanzaib Advertiser Company,-570.0000,9/30/2010 12:00:00 AM
Jupiter Communications (Pvt) Ltd.,-0.1252,12/31/2016 12:00:00 AM
JWT,0.7414,1/20/2016 3:03:43 PM
JWT Asiatic,-125427.8678,6/11/2019 4:50:39 PM
Karwan-e-Hayat,0.0000,8/30/2011 12:00:00 AM
Kenad (Pvt) Ltd,0.2450,9/8/2022 12:00:00 AM
Kimco Advertising,-538.7986,6/30/2018 12:00:00 AM
Kimco Advertising,-538.7986,6/30/2018 12:00:00 AM
Kimco Advertising,-538.7986,6/30/2018 12:00:00 AM
Kohinoor One Vista,-257823.9000,8/29/2008 12:07:13 PM
Kun Advertising Agency,112147.6243,10/31/2022 12:00:00 AM
Lakson Investment,0.7403,1/19/2018 12:17:59 PM
Linkers Communication (Private) Limited,16519624.0659,10/25/2022 12:00:00 AM
