AgencyName,NetBalance,Year
Mustaqbil Pakistan,-169113.3346,5/16/2013 6:46:40 PM
NYX Advertising (Pvt.) Ltd.,8965194.6811,10/19/2010 12:00:00 AM
Oktopus 360 Media (Pvt) Ltd. (Formarlly Kimco Advertising),36252814.8719,6/30/2016 12:00:00 AM
Oktopus 360 Media (Pvt) Ltd. (Formarlly Kimco Advertising),36252814.8719,6/30/2016 12:00:00 AM
Oktopus 360 Media (Pvt) Ltd. (Formarlly Kimco Advertising),36252814.8719,6/30/2016 12:00:00 AM
Orange Communications,123725.0000,3/31/2011 12:00:00 AM
Orient Advertising (Pvt.) Ltd.,12650158.1114,8/16/2014 12:00:00 AM
Orient Advertising (Pvt.) Ltd.,12650158.1114,8/16/2014 12:00:00 AM
Orient Advertising (Pvt.) Ltd.,12650158.1114,8/16/2014 12:00:00 AM
Orient Communication (Pvt) Ltd,26232223.9793,7/1/2016 12:00:00 AM
Orient Communication (Pvt) Ltd,26232223.9793,7/1/2016 12:00:00 AM
Orient Communication (Pvt) Ltd,26232223.9793,7/1/2016 12:00:00 AM
Pak Media Com (Pvt.) Ltd.,9984170.8131,4/30/2016 4:32:55 PM
Pak Media Communications (Pvt.) Ltd.,30615741.5355,4/30/2016 11:39:22 AM
Pak Media Communications (Pvt.) Ltd.,30615741.5355,4/30/2016 11:39:22 AM
Pak Media Communications (Pvt.) Ltd.,30615741.5355,4/30/2016 11:39:22 AM
PBA LPS & Other Surcharges,-1188006.0000,6/4/2016 12:00:00 AM
Perspective Media,113965.8750,6/30/2016 12:00:00 AM
Pirana Advertising (Pvt) Ltd,-35674.6664,1/2/2016 12:00:00 AM
Pirana Advertising (Pvt) Ltd,-35674.6664,1/2/2016 12:00:00 AM
Pirana Advertising (Pvt) Ltd,-35674.6664,1/2/2016 12:00:00 AM
Prestige Communications (Pvt.) Ltd.,1549222.3721,4/1/2016 12:00:00 AM
Prime Aluminium Industries (Pvt) Ltd,0.0290,6/12/2009 12:27:27 PM
Prime Time,26506.7500,1/17/2012 12:11:32 PM
Print AD Communication,-73302.2104,5/29/2015 12:00:00 AM
Printer Port,-293740.2868,6/20/2014 12:00:00 AM
Qasim & Ahmed Pvt Ltd,565169.2502,10/31/2015 12:00:00 AM
Rasul Floor Mills (Pvt) Ltd,0.3000,8/30/2010 12:00:00 AM
Real Time,0.0000,1/23/2015 12:00:13 PM
RED Communications,14206655.5512,6/30/2016 12:00:00 AM
RED Communications,14206655.5512,6/30/2016 12:00:00 AM
Red Cross Iran,0.2773,10/30/2010 12:00:00 AM
Rehman Foundation,0.0000,8/30/2011 12:00:00 AM
Repcom Advertising,-0.5748,4/28/2011 12:00:00 AM
Revolution Media Pvt Ltd.,6035461.8084,6/30/2016 12:00:00 AM
RG Blue Communication,4076989.5414,6/1/2016 12:00:00 AM
RG Blue Communication,4076989.5414,6/1/2016 12:00:00 AM
Roche Pakistan Limited,0.0000,6/21/2012 12:00:00 AM
Ruby Advertising Services,-12455.0115,7/13/2011 4:42:48 PM
S.V.Advertising,-0.5577,5/27/2013 12:00:00 AM
SACOM,0.0000,6/14/2016 12:00:00 AM
Sajid Enterprises,0.7200,4/17/2013 12:00:00 AM
San Media,-1217.2420,1/31/2015 12:00:00 AM
San Media Communication,-920.0000,1/14/2012 12:00:00 AM
Sarhad University of Science & Information Technology Peshwar,-0.0045,8/21/2015 11:42:11 AM
Shahoo Je Herbal Pharma,5938.5000,4/11/2014 5:07:44 PM
Shazia Abbasi Consulting,239749.2708,6/21/2016 12:00:00 AM
Shoot n Cutt Production,0.0000,2/28/2014 12:00:00 AM
Sindh Institute of Urology and Transplantation,0.0000,6/19/2014 12:00:00 AM
Siza Food Pvt Ltd,425933.1984,4/13/2009 4:46:05 PM
Spectrum Communications (Pvt.) Ltd.,832846.0656,6/30/2016 12:00:00 AM
Spectrum Communications (Pvt.) Ltd.,832846.0656,6/30/2016 12:00:00 AM
Spider 360 Media (Pvt.) Ltd.,1637618.9114,7/1/2016 12:00:00 AM
Spider 360 Media (Pvt.) Ltd.,1637618.9114,7/1/2016 12:00:00 AM
Star Com,-0.4348,12/31/2010 12:00:00 AM
Star Crest (Pvt.) Ltd.,29627903.6555,6/30/2016 12:00:00 AM
Star Crest (Pvt.) Ltd.,29627903.6555,6/30/2016 12:00:00 AM
Super Media Communication Pvt. Ltd.,-0.1921,5/23/2016 12:00:00 AM
Synchronize (Pvt.) Ltd.,-3328894.6568,9/20/2013 10:10:23 AM
Synchronize (Pvt.) Ltd.,-3328894.6568,9/20/2013 10:10:23 AM
Synchronize (Pvt.) Ltd.,-3328894.6568,9/20/2013 10:10:23 AM
Synergy Advertising,17537327.8147,6/30/2016 12:00:00 AM
Synergy Advertising,17537327.8147,6/30/2016 12:00:00 AM
Synergy Advertising,17537327.8147,6/30/2016 12:00:00 AM
T Media,9614261.4771,7/1/2016 12:00:00 AM
Taj TV Ltd.,52520.0000,3/31/2014 12:00:00 AM
